auction,ip
00270,771
008vv,2
00cwr,13
00do0,2
00hjy,32
00hm5,15
00llo,15
00mip,1
00p4a,1
00sj9,20
010lx,111
012sd,126
012wh,6791
0143v,62
014m6,9
01b3e,128
01dgm,107
01jh9,200
01l8f,142
01lq0,4
01sru,201
01znr,64
021em,42
022yv,9
023e8,8
02a13,5
02aip,114
02c9i,20
02jrl,27
02lmg,7
02mb5,15
02ubh,65
02wc0,3
02wcx,60
030jb,189
030o3,3
0326d,39
03693,43
0395d,152
03bcd,26
03k3a,85
03n0o,28
03oel,46
03ou3,206
03w40,2
03w4b,5
03x57,20
03z14,184
042xe,281
0457f,2
045m6,35
04b66,393
04hdj,115
04i68,2
04im1,4
04os0,9
04qkl,19
04qrv,1
04rx4,23
04tfu,52
04vyz,36
04znq,3
054su,126
055te,7
05bab,129
05bdq,7
05d6w,2703
05esr,48
05gw0,65
05j8q,65
05qlz,1
05smu,4
05uqj,9
05x67,28
060r8,146
061bn,11
0646m,1
0654t,16
06c0o,1
06dre,173
06jxc,131
06k6j,16
06p5t,16
06pag,67
06uog,3
06xnw,20
06yl7,527
072nr,46
074j7,77
077pe,5
07axb,4846
07c49,6
07ekb,9
07f7k,3
07jez,61
07o9x,3
07ogm,1
07p79,24
07sgc,303
07zkr,4
086x5,71
08ae3,76
08c1i,6
08fcu,887
08k7d,369
08q3q,1
08q4y,26
08u1f,277
08wsg,14
08xie,1
091zl,35
0964f,1
09ati,415
09gee,47
09hjf,119
09p3y,79
09s8u,160
09w09,32
09wll,70
0a0zt,742
0a1jk,33
0amwr,2
0an5g,9
0aqcf,9
0azx9,8
0b0r7,2
0b57s,1
0b72j,17
0b800,4
0b83n,11
0bnd1,15
0bnvn,13
0bpbx,1
0bxy9,157
0bzf6,4
0c07w,3
0c344,879
0ccqu,26
0ccyb,158
0ch4m,15
0choc,53
0cmns,1
0cuy6,2293
0cv7f,36
0cvcm,268
0cwrz,143
0d0r9,1
0d5z1,2752
0d6f0,10
0db3j,1
0de93,366
0dfao,98
0dgrn,1
0di20,25
0djbm,1
0djmd,181
0dm6m,17
0drlr,250
0du0b,20
0ducj,44
0dvrd,12
0e0bi,1
0e2gv,24
0e31h,46
0ee52,17
0ef34,465
0el3j,30
0elom,4318
0emw3,4
0enqt,68
0ew0j,9
0f07s,44
0fbdi,151
0fbpp,2
0fbzo,165
0fcrk,74
0fcsj,57
0femm,11
0ft7d,292
0fv0r,72
0fxis,830
0fyqt,9
0g31q,62
0g4ot,17
0g84z,79
0gblu,190
0gf6h,17
0gpaf,55
0gpkp,5
0gu46,264
0gu9t,24
0h2xu,10
0h60v,48
0hk0p,2
0hl69,5
0hne9,45
0hoom,9
0hyxf,3
0hzbh,77
0i26d,46
0i42l,11
0i6co,40
0ian4,2
0icd8,3
0ihb1,16
0in0c,1
0iow5,9
0iro1,8
0irzu,1
0is93,68
0itks,2
0izsa,345
0j1dd,49
0j34r,37
0j74d,1818
0jd5i,5
0jio5,67
0jk9b,7
0jlsp,3
0joi4,1
0jp67,96
0jrl8,2
0jspx,1
0jt9b,301
0jwgc,348
0jxij,8
0jxyo,56
0jy69,71
0k2jo,193
0k4vg,16
0k63p,21
0k80u,7
0k85j,8
0kaln,1
0kb4x,7
0kkdy,9
0kkin,612
0kn30,60
0kq47,113
0kr34,24
0kr63,43
0kvgb,2
0kx84,24
0l6c3,2
0leo6,51
0leyt,316
0lg9w,2
0liv5,4
0lm5o,3
0lm8h,26
0lmmn,44
0lou5,187
0lpg1,24
0lpyb,1
0lyco,75
0mdgt,1475
0mdpu,8
0mglb,13
0mi7u,2
0mjto,7
0mkhe,99
0mlsx,2470
0mme9,3
0mmqg,155
0mpsq,1
0mtud,30
0my3i,235
0mzuc,136
0n16g,26
0na0p,84
0ngp8,6
0njs0,10
0nlte,62
0ntdo,3
0o0io,14
0o5h4,3811
0o7lw,6
0okuw,56
0onnp,12
0oujt,22
0ovc4,77
0ozg9,3
0p07a,5
0p4cp,100
0p4g7,4
0p61l,19
0pc20,132
0pgqd,234
0pjcz,126
0pk4m,22
0pok8,1
0pt61,39
0puta,20
0pvd4,1877
0px94,96
0pxni,10
0q87g,3
0q8ac,839
0qe8p,174
0qlas,195
0qng7,3
0qol8,7
0qoqp,150
0qqqp,6
0qu1d,336
0qxv0,65
0r028,1
0r1ao,13
0rdl0,91
0rfbz,427
0rl6i,4689
0rydp,68
0ryzl,60
0s47h,4
0s731,68
0se1i,20
0sir0,8
0sm3z,28
0so0p,1
0sqbj,28
0t3yj,2
0t48q,44
0t4p1,20
0t54p,2088
0tdtl,128
0tibp,136
0tiqt,4
0tk53,5
0tkzn,391
0tm18,6
0tqnq,3
0tr8i,2
0tuko,470
0tv6c,6
0tx3u,76
0tx83,156
0u6ql,44
0u80x,567
0u95c,44
0ug20,4
0uh9v,17
0uhxz,32
0ukx2,1
0uldj,7
0unyu,20
0uphg,45
0ur5q,4
0ux86,33
0v4lj,86
0v9zq,5
0vbf5,6
0vdfa,26
0vlyo,3
0vqlu,2
0vuzi,71
0w2y3,20
0w4gh,4
0w5bn,6
0wbi1,137
0wci9,171
0wdhd,26
0wrpn,50
0wvd2,2
0wwiu,238
0x1wu,1
0x5b1,17
0x9b8,7
0xctc,4
0xcth,1356
0xdrc,2
0xo1d,1277
0xonb,5
0xq47,8
0xvz2,3177
0y20x,86
0y2nh,1
0y593,5
0y6bj,2
0y6e1,39
0y87g,246
0y952,4
0y9rw,3
0ycs7,1
0ykk3,79
0ymal,167
0ytq6,1
0yz7q,87
0z23u,16
0z76g,1862
0z86u,16
0z9f9,69
0zbzw,693
0zegq,5
0zem8,4
0zhnx,3
0zkrb,3
0zpk3,2
0zq57,4
0zqjp,244
0zxny,384
104nq,8
106eq,131
10cwc,344
10l8g,886
10p9w,26
10wgv,5488
10zfj,527
10zxz,43
11355,179
114i6,9
115r3,150
11det,1
11f8m,97
11faf,68
11oce,312
11rf1,164
11ru8,64
11umc,3
11v90,3
122l6,1482
126v6,891
128vs,78
12a00,149
12ai0,8
12arr,16
12cn4,7
12cps,64
12nh4,6
12oyl,38
12rsq,45
12woo,3
12x2e,5
130f2,323
130ze,16
1378d,103
138ns,60
13di0,319
13gi4,74
13j8d,56
13kbi,24
13ks8,70
13qc7,15
13sno,1
13zxd,40
140ye,1
147tr,11
14bix,152
14btb,9
14dtg,9
14fvw,6
14h0c,3
14i1c,60
14ib1,3
14ijz,262
