,Auctions,Average unique bidders
0,cx0p4,7.666666666666667
1,s6w8f,4.666666666666667
2,1551c,54.666666666666664
3,xf5ay,0.3333333333333333
4,1gk1b,3.0
5,d4sdp,5.666666666666667
6,otnby,1.0
7,97ys3,3.6666666666666665
8,q6wwd,0.6666666666666666
9,ic7zb,0.3333333333333333
10,4ol8f,110.33333333333333
11,cepsd,17.0
12,15l3s,2.3333333333333335
13,fmvcv,1.6666666666666667
14,qwkto,1.0
15,jklnk,16.666666666666668
16,ap4w0,0.6666666666666666
17,s34ji,1.6666666666666667
18,8wa74,6.0
19,fl66n,12.333333333333334
20,tp9bl,8.666666666666666
21,dpoui,1.3333333333333333
22,71g5q,0.3333333333333333
23,23wf0,1.0
24,cs5hz,12.333333333333334
25,ymss1,1.6666666666666667
26,lpade,0.6666666666666666
27,1gina,1.3333333333333333
28,pd58b,2.6666666666666665
29,3a1i0,0.3333333333333333
30,spsxl,1.6666666666666667
31,hoqxs,2.0
32,l653j,26.0
33,mxwto,4.666666666666667
34,nsk02,0.3333333333333333
35,hdxyq,2.6666666666666665
36,u4bpk,10.666666666666666
37,hqq7c,1.3333333333333333
38,wacnq,2.6666666666666665
39,cwbqf,83.33333333333333
40,xgg0i,7.333333333333333
41,4derh,0.3333333333333333
42,0jxyo,10.333333333333334
43,nizmc,0.6666666666666666
44,v14mz,3.0
45,4f6uv,5.666666666666667
46,xhmge,2.6666666666666665
47,ikkrq,6.0
48,unr3r,0.3333333333333333
49,9kjvd,1.0
50,8k32i,11.0
51,j1ts1,2.3333333333333335
52,iuzsu,1.3333333333333333
53,xkxqz,5.666666666666667
54,ixb7z,0.6666666666666666
55,5dxye,0.3333333333333333
56,1bk4g,84.66666666666667
57,7us95,64.0
58,c5dfw,33.0
59,on1sr,2.0
60,63wle,19.666666666666668
61,1vwxb,3.0
62,efjku,2.6666666666666665
63,njueu,3.3333333333333335
64,k3ay8,41.666666666666664
65,7x9pz,2.0
66,5mh41,26.0
67,130f2,6.333333333333333
68,yc9wr,17.666666666666668
69,h1zy4,4.0
70,h1rdt,15.666666666666666
71,yjvad,1.3333333333333333
72,83s0y,0.6666666666666666
73,vc1n1,1.3333333333333333
74,ye8mp,8.0
75,bpdd6,0.6666666666666666
76,oeaza,16.0
77,9n5vo,4.333333333333333
78,scsac,2.3333333333333335
79,avqde,0.3333333333333333
80,c54vw,5.0
81,fj5oq,2.0
82,3m4cn,2.3333333333333335
83,z0t6q,69.0
84,hx4r1,1.3333333333333333
85,4qf7m,29.333333333333332
86,mm43x,6.0
87,lx0hm,238.66666666666666
88,mwjrn,2.0
89,15df0,27.333333333333332
90,2hary,6.0
91,pqi2m,129.0
92,2hy4g,3.3333333333333335
93,fbwiw,0.3333333333333333
94,h0hnq,5.333333333333333
95,76v4e,42.0
96,f5nwb,1.6666666666666667
97,veezx,0.6666666666666666
98,vlycu,3.3333333333333335
99,gu7ya,0.6666666666666666
100,tbbno,0.6666666666666666
101,4fdn4,0.3333333333333333
